"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","0","1","0","1","1","0","1","1","0","0","0","0","0","6","0","6","4","30","2","34","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","2","0","2","0","0","0","0","5","42","3","47","0","0","0","3"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","0","1","0","1","1","0","0","1","0","0","0","0","6","5","0","11","14","23","5","37","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","6","12","0","18","0","0","0","0","29","42","5","71","0","0","0","5"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","1","0","0","1","0","0","0","0","0","0","0","0","3","4","0","7","8","22","1","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","3","0","4","25","57","0","82","38","88","2","126","0","0","0","2"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","8","0","10","13","40","8","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","9","0","11","0","1","0","1","18","60","8","78","0","0","0","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","1","0","8","25","6","2","31","0","0","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","5","7","0","12","0","0","0","0","39","17","3","56","0","0","0","3"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","0","0","0","0","1","0","0","1","0","0","0","0","12","1","0","13","39","4","3","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","11","5","0","16","0","0","0","0","63","11","3","74","0","0","0","3"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","8","4","0","12","7","40","7","47","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","2","6","0","8","0","1","0","1","19","54","7","73","0","0","0","7"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","0","0","9","36","15","3","51","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","8","0","15","0","4","0","4","55","28","3","83","0","0","0","3"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","1","0","0","1","2","0","0","2","0","0","0","0","10","2","0","12","22","46","8","68","1","2","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","3","10","0","13","3","4","0","7","42","66","8","108","0","0","0","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","0","1","0","1","1","1","0","2","0","0","0","0","5","4","0","9","15","56","8","71","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","11","0","11","0","2","0","2","21","79","9","100","0","0","0","9"
