"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","5","150","30","5","149","29.8","5","143","28.6","0","0","0","0","0","0","15","442","29.5","41","10.8"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","8","239","29.9","8","228","28.5","8","270","33.8","3","26","8.7","0","0","0","27","763","28.3","62","12.3"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","6","182","30.3","6","174","29","6","169","28.2","0","0","0","0","0","0","18","525","29.2","122","4.3"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","11","282","25.6","11","262","23.8","11","288","26.2","0","0","0","0","0","0","33","832","25.2","65","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","8","210","26.3","8","183","22.9","8","221","27.6","0","0","0","0","0","0","24","614","25.6","47","13.1"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","12","342","28.5","12","301","25.1","12","328","27.3","0","0","0","0","0","0","36","971","27","66","14.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","10","199","19.9","10","194","19.4","10","250","25","0","0","0","0","0","0","30","643","21.4","59","10.9"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","12","359","29.9","12","335","27.9","12","380","31.7","0","0","0","0","0","0","36","1074","29.8","73","14.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","14","382","27.3","14","386","27.6","14","426","30.4","3","20","6.7","0","0","0","45","1214","27","90","13.5"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","13","371","28.5","13","339","26.1","14","413","29.5","3","18","6","0","0","0","43","1141","26.5","84","13.6"
