"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","0","1","0","1","1","0","0","1","0","0","0","0","4","7","0","11","13","7","0","20","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","18","18","0","36","0","0","0","0"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","1","0","0","1","0","1","0","1","0","0","0","0","5","7","2","12","3","13","4","16","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","4","10","0","14","0","0","0","0","13","35","6","48","0","0","0","6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","9","0","11","0","31","6","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","2","0","2","2","46","6","48","0","0","0","6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","0","10","0","10","2","20","4","22","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","1","2","36","4","38","0","0","0","4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","6","0","7","0","19","4","19","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","2","30","4","32","0","0","0","4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","0","1","0","1","2","1","1","3","0","0","0","0","1","12","0","13","2","43","5","45","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","1","0","0","1","6","61","6","67","1","0","1","6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","0","1","0","1","1","1","0","2","0","0","0","0","1","9","0","10","6","79","20","85","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","0","1","0","1","0","0","0","0","8","94","21","102","0","0","0","21"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","10","0","11","3","33","4","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","2","0","2","0","1","0","1","4","50","4","54","0","1","1","4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","1","12","0","13","3","41","12","44","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","2","1","0","3","0","1","0","1","7","60","14","67","0","0","0","14"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","3","2","0","5","0","19","5","19","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","0","1","0","2","0","2","4","29","6","33","0","0","0","6"
