"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","96","24","4","99","24.8","4","98","24.5","5","102","20.4","5","111","22.2","5","104","20.8","1","6","6","0","0","0","28","616","22","32","19.3"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","5","101","20.2","5","100","20","5","105","21","5","103","20.6","5","108","21.6","5","110","22","1","5","5","0","0","0","31","632","20.4","35","18.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","5","130","26","5","129","25.8","5","149","29.8","4","123","30.8","5","136","27.2","7","170","24.3","0","0","0","0","0","0","31","837","27","38","22"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","4","74","18.5","4","86","21.5","4","81","20.3","4","74","18.5","4","85","21.3","4","85","21.3","1","7","7","0","0","0","25","492","19.7","30","16.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","3","53","17.7","3","52","17.3","3","59","19.7","3","54","18","3","62","20.7","2","51","25.5","2","8","4","0","0","0","19","339","17.8","22","15.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","5","143","28.6","6","154","25.7","7","195","27.9","7","197","28.1","8","247","30.9","10","285","28.5","1","5","5","0","0","0","44","1226","27.9","54","22.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","10","333","33.3","8","301","37.6","9","324","36","9","339","37.7","13","428","32.9","13","432","33.2","0","0","0","0","0","0","62","2157","34.8","73","29.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","5","144","28.8","5","167","33.4","5","179","35.8","5","183","36.6","6","218","36.3","6","193","32.2","0","0","0","0","0","0","32","1084","33.9","43","25.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","5","118","23.6","6","148","24.7","8","181","22.6","6","158","26.3","6","137","22.8","6","155","25.8","2","7","3.5","0","0","0","39","904","23.2","48","18.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","49","24.5","3","59","19.7","2","35","17.5","2","49","24.5","3","52","17.3","3","61","20.3","2","11","5.5","0","0","0","17","316","18.6","23","13.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","2","26","13","2","23","11.5","2","20","10","2","20","10","2","27","13.5","2","30","15","1","4","4","0","0","0","13","150","11.5","17","8.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","6","202","33.7","6","231","38.5","7","235","33.6","7","258","36.9","9","307","34.1","11","334","30.4","0","0","0","0","0","0","46","1567","34.1","60","26.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","3","67","22.3","3","75","25","4","82","20.5","5","126","25.2","6","139","23.2","7","174","24.9","2","12","6","0","0","0","30","675","22.5","35","19.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","5","121","24.2","5","114","22.8","6","140","23.3","6","152","25.3","7","185","26.4","7","159","22.7","2","11","5.5","0","0","0","38","882","23.2","49","18"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","8","256","32","8","263","32.9","9","306","34","8","247","30.9","10","311","31.1","12","354","29.5","1","3","3","0","0","0","56","1740","31.1","68","25.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","8","209","26.1","7","204","29.1","8","227","28.4","8","221","27.6","9","255","28.3","10","257","25.7","0","0","0","0","0","0","50","1373","27.5","59","23.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","5","104","20.8","6","130","21.7","7","161","23","6","127","21.2","7","165","23.6","7","161","23","0","0","0","0","0","0","38","848","22.3","45","18.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","6","143","23.8","6","133","22.2","6","144","24","7","164","23.4","7","169","24.1","8","192","24","2","7","3.5","0","0","0","42","952","22.7","48","19.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","5","143","28.6","5","142","28.4","6","159","26.5","6","149","24.8","5","140","28","6","144","24","1","6","6","0","0","0","34","883","26","39","22.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","3","57","19","2","54","27","2","52","26","3","58","19.3","3","63","21","3","48","16","0","0","0","0","0","0","16","332","20.8","19","17.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","4","87","21.8","4","86","21.5","4","91","22.8","4","98","24.5","4","101","25.3","5","122","24.4","0","0","0","0","0","0","25","585","23.4","30","19.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","4","102","25.5","4","91","22.8","3","75","25","3","82","27.3","4","93","23.3","5","107","21.4","0","0","0","0","0","0","23","550","23.9","27","20.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","8","252","31.5","8","227","28.4","7","210","30","7","216","30.9","7","224","32","8","237","29.6","2","12","6","0","0","0","47","1378","29.3","58","23.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","7","221","31.6","6","199","33.2","6","190","31.7","6","185","30.8","6","190","31.7","7","211","30.1","2","10","5","0","0","0","40","1206","30.2","47","25.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","7","158","22.6","7","153","21.9","7","162","23.1","6","137","22.8","9","202","22.4","8","193","24.1","0","0","0","0","0","0","44","1005","22.8","51","19.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","4","89","22.3","4","90","22.5","4","108","27","3","90","30","4","82","20.5","4","81","20.3","1","7","7","0","0","0","24","547","22.8","27","20.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","6","165","27.5","6","194","32.3","5","158","31.6","5","167","33.4","6","156","26","6","157","26.2","1","7","7","0","0","0","35","1004","28.7","40","25.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","2","27","13.5","2","32","16","2","31","15.5","2","26","13","2","34","17","2","31","15.5","1","7","7","0","0","0","13","188","14.5","19","9.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","4","88","22","3","71","23.7","4","84","21","4","88","22","4","93","23.3","5","107","21.4","1","7","7","0","0","0","25","538","21.5","30","17.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","8","229","28.6","7","239","34.1","7","243","34.7","8","245","30.6","9","267","29.7","10","280","28","0","0","0","0","0","0","49","1503","30.7","61","24.6"
