"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분"
"서울특별시교육청","교육부","서울특별시 종로구","S000003545","서울농학교","05","국립","","N","단설","주간","19130401","19130401","1111010200","서울특별시 종로구 신교동","1-1.","110032","03032","서울특별시 종로구 필운대로 103","(신교동)","37.5856437769185","126.968774183912","02-737-0659","02-723-5848","http://seoulnong.sc.kr","남녀공학"
"서울특별시교육청","교육부","서울특별시 마포구","S000003553","한국우진학교","05","국립","","N","단설","주간","20000306","20000301","1144012600","서울특별시 마포구 중동","64-2(으뜸길 13).","121877","03934","서울특별시 마포구 월드컵북로38길 21",", 한국우진학교 (중동)","37.57155","126.9032875","02-304-6255","02-304-6256","http://woojin.sen.sc.kr","남녀공학"
"서울특별시교육청","교육부","서울특별시 종로구","S000003610","서울맹학교","05","국립","","N","단설","주간","19130401","19130401","1111010200","서울특별시 종로구 신교동","1-4번지.","03032","03032","서울특별시 종로구 필운대로 97","(신교동)","37.5847713430283","126.967760117444","02-731-6772","02-722-0845","http://bl.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000663","광성하늘빛학교","05","사립","","N","단설","주간","20000520","19991108","1171010300","서울특별시 송파구 풍납동","474.","138040","05511","서울특별시 송파구 올림픽로 625",", 광성하늘빛학교 (풍납동,광성교회)","37.5373813224391","127.122233916635","02-474-1004","02-474-3434","http://hanulbit.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000664","누리학교","05","사립","","N","단설","주간","19980516","19980429","1159010800","서울특별시 동작구 대방동","395-2번지.","156811","06954","서울특별시 동작구 상도로 53",", 누리학교 (대방동)","37.5000083800672","126.926374129956","02-8243-8888","02-813-8308","http://nuri.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000665","교남학교","05","사립","","N","단설","주간","19830321","19830125","1150010300","서울특별시 강서구 화곡동","960-22.","157913","07662","서울특별시 강서구 까치산로22길 38",", 교남학교 (화곡동)","37.5479696508778","126.852350722769","02-2607-2456","02-2601-8746","http://kyonam.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000667","다니엘학교","05","사립","","N","단설","주간","19750418","19741213","1165010900","서울특별시 서초구 내곡동","1-1328번지.","137180","06796","서울특별시 서초구 헌릉로468길 21-16","(내곡동,다니엘학교)","37.4601634514901","127.092318046838","02-445-9435","02-445-9439","daniel.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000669","밀알학교","05","사립","","N","단설","주간","19970310","19970301","1168011400","서울특별시 강남구 일원동","713번지.","135230","06350","서울특별시 강남구 일원로 90","(일원동,밀알학교)","37.485910","127.082210","02-3412-1133","02-6958-3777","http://miral.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000670","서울새롬학교","05","사립","","N","단설","주간","19690728","19690728","1162010100","서울특별시 관악구 봉천동","722-19번지.","151831","08709","서울특별시 관악구 보라매로 44",", 새롬학교 (봉천동)","37.4931685563855","126.927371419213","02-840-3535","02-884-4832","http://saerom.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000671","서울광진학교","05","공립","","N","단설","주간","19990115","19990115","1121510300","서울 광진구 구의동","587-52.","05048","05048","서울특별시 광진구 강변역로 18",", 서울광진학교 (구의동, 서울광진학교)","37.5373788","127.0918574","02-6715-9001","02-6715-9003","http://kwangjin.sen.sc.kr","남녀공학"
