"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","유초등부-유 학급수","유초등부-유 학생수","유초등부-유 학급당 학생수","유초등부-유-순회 학급수","유초등부-유-순회 학생수","유초등부-유-순회 학급당 학생수","유초등부-1학년 학급수","유초등부-1학년 학생수","유초등부-1학년 학급당 학생수","유초등부-2학년 학급수","유초등부-2학년 학생수","유초등부-2학년 학급당 학생수","유초등부-3학년 학급수","유초등부-3학년 학생수","유초등부-3학년 학급당 학생수","유초등부-4학년 학급수","유초등부-4학년 학생수","유초등부-4학년 학급당 학생수","유초등부-5학년 학급수","유초등부-5학년 학생수","유초등부-5학년 학급당 학생수","유초등부-6학년 학급수","유초등부-6학년 학생수","유초등부-6학년 학급당 학생수","유초등부-초-순회 학급수","유초등부-초-순회 학생수","유초등부-초-순회 학급당 학생수","유초등부 학급수(계)","유초등부 학생수(계)","유초등부 학급당 학생수(계)","중등부-1학년 학급수","중등부-1학년 학생수","중등부-1학년 학급당 학생수","중등부-2학년 학급수","중등부-2학년 학생수","중등부-2학년 학급당 학생수","중등부-3학년 학급수","중등부-3학년 학생수","중등부-3학년 학급당 학생수","중등부-순회 학급수","중등부-순회 학생수","중등부-순회 학급당 학생수","중등부 학급수(계)","중등부 학생수(계)","중등부 학급당 학생수(계)","고등부-1학년 학급수","고등부-1학년 학생수","고등부-1학년 학급당 학생수","고등부-2학년 학급수","고등부-2학년 학생수","고등부-2학년 학급당 학생수","고등부-3학년 학급수","고등부-3학년 학생수","고등부-3학년 학급당 학생수","고등부-순회 학급수","고등부-순회 학생수","고등부-순회 학급당 학생수","고등부 학급수(계)","고등부 학생수(계)","고등부 학급당 학생수(계)","전공과 학급수","전공과 학생수","전공과 학급당 학생수","총계 학급수","총계 학생수","총계 학급당 학생수","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 종로구","S000003545","서울농학교","05","국립","N","","3","5","1.7","0","0","0","1","3","3","1","1","1","1","4","4","1","2","2","1","2","2","1","4","4","0","0","0","9","21","2.3","2","6","3","2","6","3","2","6","3","0","0","0","6","18","3","2","7","3.5","3","15","5","3","12","4","0","0","0","8","34","4.3","4","18","4.5","27","91","3.4","49","1.4"
"서울특별시교육청","교육부","서울특별시 마포구","S000003553","한국우진학교","05","국립","N","","2","9","4.5","1","5","5","2","10","5","2","7","3.5","2","9","4.5","2","8","4","1","6","6","2","8","4","4","10","2.5","18","72","4","2","12","6","2","9","4.5","2","12","6","1","2","2","7","35","5","3","13","4.3","3","16","5.3","3","15","5","1","2","2","10","46","4.6","4","24","6","39","177","4.5","66","2.1"
"서울특별시교육청","교육부","서울특별시 종로구","S000003610","서울맹학교","05","국립","N","","5","14","2.8","0","0","0","2","9","4.5","1","4","4","1","2","2","2","3","1.5","1","2","2","1","7","7","0","0","0","13","41","3.2","2","5","2.5","2","6","3","3","18","6","0","0","0","7","29","4.1","3","19","6.3","2","14","7","3","17","5.7","0","0","0","8","50","6.3","11","89","8.1","39","209","5.4","68","1.6"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000663","광성하늘빛학교","05","사립","N","","7","27","3.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","27","3.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","27","3.9","13","0"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000664","누리학교","05","사립","N","","7","31","4.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","31","4.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","31","4.4","11","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000665","교남학교","05","사립","N","","0","0","0","0","0","0","1","7","7","1","6","6","1","6","6","1","7","7","1","6","6","1","7","7","0","0","0","6","39","6.5","1","6","6","2","11","5.5","1","7","7","0","0","0","4","24","6","2","11","5.5","1","9","9","1","11","11","0","0","0","4","31","7.8","2","14","7","16","108","6.8","28","3.4"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000667","다니엘학교","05","사립","N","","1","1","1","0","0","0","2","12","6","2","16","8","2","16","8","2","14","7","2","14","7","2","14","7","0","0","0","13","87","6.7","2","12","6","2","14","7","2","13","6.5","0","0","0","6","39","6.5","2","16","8","2","17","8.5","2","17","8.5","0","0","0","6","50","8.3","4","28","7","29","204","7","51","3.4"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000669","밀알학교","05","사립","N","","1","3","3","0","0","0","2","14","7","2","12","6","2","12","6","2","12","6","2","13","6.5","2","12","6","0","0","0","13","78","6","2","14","7","2","14","7","2","12","6","0","0","0","6","40","6.7","2","12","6","2","16","8","3","17","5.7","0","0","0","7","45","6.4","4","30","7.5","30","193","6.4","52","3.1"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000670","서울새롬학교","05","사립","N","","1","6","6","1","7","7","1","4","4","1","3","3","1","5","5","1","7","7","1","3","3","1","3","3","3","17","5.7","11","55","5","1","2","2","1","4","4","1","5","5","2","2","1","5","13","2.6","0","0","0","0","0","0","0","0","0","1","5","5","1","5","5","0","0","0","17","73","4.3","31","1.9"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000671","서울광진학교","05","공립","N","","0","0","0","0","0","0","1","2","2","1","4","4","1","7","7","1","6","6","2","11","5.5","1","5","5","0","0","0","7","35","5","2","12","6","2","10","5","2","10","5","0","0","0","6","32","5.3","2","15","7.5","3","16","5.3","3","19","6.3","0","0","0","8","50","6.3","4","30","7.5","25","147","5.9","43","2.7"
